Retry location,Enclosing method,Retried method,Exception
https://github.com/apache/cassandra/tree//f0ad7ea//src/java/org/apache/cassandra/db/compaction/Scrubber.java#L196,org.apache.cassandra.db.compaction.Scrubber.scrub,org.apache.cassandra.db.compaction.Scrubber$ScrubInfo.getCompactionInfo,java.lang.RuntimeException
https://github.com/apache/cassandra/tree//f0ad7ea//src/java/org/apache/cassandra/db/compaction/Scrubber.java#L196,org.apache.cassandra.db.compaction.Scrubber.scrub,org.apache.cassandra.utils.ByteBufferUtil.readWithShortLength,java.io.IOException
https://github.com/apache/cassandra/tree//f0ad7ea//src/java/org/apache/cassandra/db/compaction/Scrubber.java#L196,org.apache.cassandra.db.compaction.Scrubber.scrub,org.apache.cassandra.db.marshal.AbstractType<?>.validate,org.apache.cassandra.serializers.MarshalException
https://github.com/apache/cassandra/tree//f0ad7ea//src/java/org/apache/cassandra/hadoop/cql3/CqlRecordWriter.java#L298,org.apache.cassandra.hadoop.cql3.CqlRecordWriter$RangeClient.run,org.apache.cassandra.hadoop.cql3.CqlRecordWriter$RangeClient.preparedStatement,java.lang.RuntimeException
https://github.com/apache/cassandra/tree//f0ad7ea//src/java/org/apache/cassandra/hadoop/cql3/CqlRecordWriter.java#L298,org.apache.cassandra.hadoop.cql3.CqlRecordWriter$RangeClient.run,java.util.concurrent.BlockingQueue<List<ByteBuffer>>.take,java.lang.InterruptedException
https://github.com/apache/cassandra/tree//f0ad7ea//src/java/org/apache/cassandra/hadoop/cql3/CqlRecordWriter.java#L312,org.apache.cassandra.hadoop.cql3.CqlRecordWriter$RangeClient.run,org.apache.cassandra.hadoop.cql3.CqlRecordWriter$RangeClient.preparedStatement,java.lang.RuntimeException
https://github.com/apache/cassandra/tree//f0ad7ea//src/java/org/apache/cassandra/service/StorageService.java#L4587,org.apache.cassandra.service.StorageService.repairPaxosForTopologyChange,org.apache.cassandra.service.StorageService.tryRepairPaxosForTopologyChange,java.lang.RuntimeException
https://github.com/apache/cassandra/tree//f0ad7ea//src/java/org/apache/cassandra/service/StorageService.java#L4587,org.apache.cassandra.service.StorageService.repairPaxosForTopologyChange,org.apache.cassandra.service.StorageService.tryRepairPaxosForTopologyChange,java.lang.AssertionError
https://github.com/apache/cassandra/tree//f0ad7ea//src/java/org/apache/cassandra/service/paxos/Paxos.java#L651,org.apache.cassandra.service.paxos.Paxos.cas,org.apache.cassandra.service.CASRequest.makeUpdates,org.apache.cassandra.exceptions.InvalidRequestException
https://github.com/apache/cassandra/tree//f0ad7ea//src/java/org/apache/cassandra/service/paxos/Paxos.java#L651,org.apache.cassandra.service.paxos.Paxos.cas,org.apache.cassandra.service.CASRequest.appliesTo,org.apache.cassandra.exceptions.InvalidRequestException
https://github.com/apache/cassandra/tree//f0ad7ea//src/java/org/apache/cassandra/service/paxos/Paxos.java#L651,org.apache.cassandra.service.paxos.Paxos.cas,org.apache.cassandra.service.paxos.Paxos$MaybeFailure.markAndThrowAsTimeoutOrFailure,org.apache.cassandra.exceptions.RequestFailureException
https://github.com/apache/cassandra/tree//f0ad7ea//src/java/org/apache/cassandra/service/paxos/Paxos.java#L651,org.apache.cassandra.service.paxos.Paxos.cas,org.apache.cassandra.service.paxos.Paxos$MaybeFailure.markAndThrowAsTimeoutOrFailure,org.apache.cassandra.exceptions.RequestTimeoutException
